Holding,Ticker
167.503757,XLON:VOD
12.697237,XLON:RR.
5.139917,XLON:IMB
43.4,XLON:SBRY
26.64,XLON:VSVS
18.71,XLON:TATE
11.23,XLON:NG.
3.96,XLON:SHEL
165.005,XLON:LLOY
5.44,XLON:DGE
1.995966,XLON:RKT
4.49,XLON:SSE
59.437352,XLON:GLEN
3.18,XLON:BATS
6.35,XLON:UU.
16.421103,XLON:INCH
40.075642,XLON:KGF
36.077878,XLON:BP.
35.102684,XLON:HBR
8.055896,XLON:ENOG
122.9,XLON:FXPO
5.4,XLON:LQDE
1.19148,XLON:BMNR
0.48465,XLON:TEM
0.95804,XLON:U
0.52422,XLON:RKLB
0.31352,XLON:KTOS
4.1173,XLON:ACHR
0.17591,XLON:SHOP
1.40449,XLON:IRDM
0.1192,XLON:AMD
0.05664,XLON:TSLA
6.79881,XLON:UMC
1.89663,XLON:VZ
0.787364,XLON:CVS
1.14395,XLON:ONON
0.33711,XLON:PEP
0.76783,XLON:CCI
